loannumber,dateapproved,sbaofficecode,processingmethod,borrowername,borroweraddress,borrowercity,borrowerstate,borrowerzip,loanstatusdate,loanstatus,term,sbaguarantypercentage,initialapprovalamount,currentapprovalamount,undisbursedamount,franchisename,servicinglenderlocationid,servicinglendername,servicinglenderaddress,servicinglendercity,servicinglenderstate,servicinglenderzip,ruralurbanindicator,hubzoneindicator,lmiindicator,businessagedescription,projectcity,projectcountyname,projectstate,projectzip,cd,jobsreported,naicscode,race,ethnicity,utilities_proceed,payroll_proceed,mortgage_interest_proceed,rent_proceed,refinance_eidl_proceed,health_care_proceed,debt_interest_proceed,businesstype,originatinglenderlocationid,originatinglender,originatinglendercity,originatinglenderstate,gender,veteran,nonprofit,forgivenessamount,forgivenessdate
2911027305,04/29/2020,0593,PPP,B S S ENTERPRISES INC,11444 SPRINGFIELD PIKE,CINCINNATI,OH,45246-4245,01/16/2021,Paid in Full,24,100,22372,22372,0,,57878,1st National Bank,1000 E Main St,Lebanon,OH,45036,U,Y,Y,Unanswered,CINCINNATI,HAMILTON,OH,45246-4245,OH-08,6,447190,Unanswered,Unknown/NotStated,,22372,,,,,,Corporation,57878,1st National Bank,Lebanon,OH,Unanswered,Unanswered,,22524.43,02/12/2021
4698098005,06/26/2020,0593,PPP,"ADRIAN TARA ENTERPRISE,  INC.",660 N High St,COLUMBUS,OH,43215-1547,11/17/2021,Paid in Full,60,100,22372,22372,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,Y,N,Existing or more than 2 years old,COLUMBUS,FRANKLIN,OH,43215-1547,OH-03,11,722511,Asian,Unknown/NotStated,,22372,,,,,,Corporation,57328,The Huntington National Bank,COLUMBUS,OH,Male Owned,Non-Veteran,,22525.23,04/15/2021
5868508409,02/09/2021,0549,PPS,KONA ENTERPRISES LLC,163 Overbrook Rd,Elyria,OH,44035-3616,01/20/2022,Paid in Full,60,100,22372,22372,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Existing or more than 2 years old,Elyria,LORAIN,OH,44035-3616,OH-05,3,722515,White,Not Hispanic or Latino,1,22367,,,,,,Limited  Liability Company(LLC),57328,The Huntington National Bank,COLUMBUS,OH,Male Owned,Non-Veteran,,22568.75,12/29/2021
6102238303,01/26/2021,0593,PPS,JAN BRITTON & ASSOCIATES,201 Riverside Dr Ste 2B,Dayton,OH,45405-4956,09/25/2021,Paid in Full,60,100,22372,22372,0,,58036,Fifth Third Bank,38 Fountain Sq Plz,CINCINNATI,OH,45263,U,Y,Y,Existing or more than 2 years old,Dayton,MONTGOMERY,OH,45405-4956,OH-10,2,561492,White,Not Hispanic or Latino,1,22369,,,,,,Corporation,58036,Fifth Third Bank,CINCINNATI,OH,Female Owned,Non-Veteran,,22483.86,08/03/2021
1267188307,01/16/2021,0593,PPP,MARIETTA/WASHINGTON COUNTY CONVENTION AND VISITOR'S BUREAU I,241 Front St # 7,Marietta,OH,45750-2909,02/08/2022,Paid in Full,60,100,22370,22370,0,,103204,Riverview FCU,403 Main St,BELPRE,OH,45714-1615,R,Y,Y,Existing or more than 2 years old,Marietta,WASHINGTON,OH,45750-2909,OH-06,3,541890,Unanswered,Unknown/NotStated,1,22365,,,,,,501(c)6 � Non Profit Membership,103204,Riverview FCU,BELPRE,OH,Unanswered,Unanswered,,22452.13,06/14/2021
4259538810,04/16/2021,0593,PPS,MARIETTA/WASHINGTON COUNTY CONVENTION & VISITOR'S BUREAU INC,241 Front St # 7,Marietta,OH,45750-2909,02/08/2022,Paid in Full,60,100,22370,22370,0,,103204,Riverview FCU,403 Main St,BELPRE,OH,45714-1615,R,Y,N,Existing or more than 2 years old,Marietta,WASHINGTON,OH,45750-2909,OH-06,3,541890,Unanswered,Unknown/NotStated,1,22365,,,,,,501(c)6 � Non Profit Membership,103204,Riverview FCU,BELPRE,OH,Unanswered,Unanswered,,22407.39,06/23/2021
6352378302,01/26/2021,0593,PPS,THE PRINTING CENTER INC,402 W Church St,Xenia,OH,45385-2908,09/28/2021,Paid in Full,60,100,22370,22370,0,,53803,"U.S. Bank, National Association",425 Walnut St,CINCINNATI,OH,45202-3956,U,N,N,Existing or more than 2 years old,Xenia,GREENE,OH,45385-2908,OH-10,3,323111,White,Not Hispanic or Latino,1,22368,,,,,,Subchapter S Corporation,53803,"U.S. Bank, National Association",CINCINNATI,OH,Female Owned,Non-Veteran,,22495.52,08/18/2021
9336357108,04/15/2020,0549,PPP,YOUNG WELLNESS CENTER LLC,36855 AMERICAN WAY Suite A,AVON,OH,44011-4055,11/17/2021,Paid in Full,24,100,22370,22370,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Existing or more than 2 years old,AVON,LORAIN,OH,44011-4055,OH-05,2,621111,White,Not Hispanic or Latino,,22370,,,,,,Limited  Liability Company(LLC),57328,The Huntington National Bank,COLUMBUS,OH,Female Owned,Non-Veteran,,22383.07,02/23/2021
9721857700,05/01/2020,0593,PPP,MATHEWS &AMP; GILL LLP,615 COPELAND MILL RD STE 1F,WESTERVILLE,OH,43081,11/17/2021,Paid in Full,24,100,22370,22370,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Existing or more than 2 years old,WESTERVILLE,FRANKLIN,OH,43081-0001,OH-04,2,,Unanswered,Unknown/NotStated,,22370,,,,,,Corporation,57328,The Huntington National Bank,COLUMBUS,OH,Female Owned,Non-Veteran,,22548.35,02/24/2021
1743478302,01/19/2021,0549,PPS,DIVERSE TECHNOLOGY SOLUTIONS LLC,95 E Perry St,Tiffin,OH,44883-2310,01/21/2022,Paid in Full,60,100,22369,22369,0,,57998,The Old Fort Banking Company,8034 Main St,OLD FORT,OH,44861,R,N,N,Existing or more than 2 years old,Tiffin,SENECA,OH,44883-2310,OH-05,3,518210,Unanswered,Unknown/NotStated,,22369,,,,,,Limited  Liability Company(LLC),57998,The Old Fort Banking Company,OLD FORT,OH,Unanswered,Unanswered,,22570.32,12/16/2021
1519708000,06/22/2020,0549,PPP,"NAIL BAR 130, LLC",11385 W 130TH ST,NORTH ROYALTON,OH,44133-2432,10/19/2022,Paid in Full,60,100,22367,22367,0,,58036,Fifth Third Bank,38 Fountain Sq Plz,CINCINNATI,OH,45263,U,N,N,New Business or 2 years or less,NORTH ROYALTON,CUYAHOGA,OH,44133-2432,OH-07,8,812113,Asian,Not Hispanic or Latino,,22367,,,,,,Limited  Liability Company(LLC),58036,Fifth Third Bank,CINCINNATI,OH,Female Owned,Non-Veteran,,22859.07,09/07/2022
3268528902,04/27/2021,0549,PPS,PIEKARSKI ENTERPRISES LLC,702 Knollwood Dr,Uniontown,OH,44685-9615,11/18/2022,Paid in Full,60,100,22367,22367,0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Existing or more than 2 years old,Uniontown,SUMMIT,OH,44685-9615,OH-13,3,541320,White,Not Hispanic or Latino,1,22365,,,,,,Limited  Liability Company(LLC),57328,The Huntington National Bank,COLUMBUS,OH,Male Owned,Non-Veteran,,22692.39,10/12/2022
7381308307,01/28/2021,0549,PPS,SANDUSKY COUNTY REGIONAL AIRPORT,1500 County Road 220,Clyde,OH,43410-9562,12/16/2021,Paid in Full,60,100,22366.44,22366.44,0,,57578,The Croghan Colonial Bank,323 Croghan St,FREMONT,OH,43420-3013,R,N,N,Existing or more than 2 years old,Clyde,SANDUSKY,OH,43410-9562,OH-09,5,488119,Unanswered,Unknown/NotStated,1,22364.44,,,,,,Non-Profit Organization,57578,The Croghan Colonial Bank,FREMONT,OH,Unanswered,Unanswered,Y,22499.4,09/08/2021
3819038110,07/15/2020,0593,PPP,"A.S.A.P. MACHINE, LLC",260 Brubaker Drive,NEW CARLISLE,OH,45344-1414,01/13/2021,Paid in Full,60,100,22366,22366,0,,81417,New Carlisle Federal Savings Bank,400 N Main St,NEW CARLISLE,OH,45344-1427,U,N,Y,Unanswered,NEW CARLISLE,CLARK,OH,45344-1414,OH-15,2,332710,Unanswered,Unknown/NotStated,,22366,,,,,,Corporation,81417,New Carlisle Federal Savings Bank,NEW CARLISLE,OH,Female Owned,Non-Veteran,,22445.52,11/23/2020
8104727707,05/01/2020,0593,PPP,WCA INC,3371 MILL ST,NORTH BEND,OH,45052,11/20/2021,Paid in Full,24,100,22366,22366,0,,53803,"U.S. Bank, National Association",425 Walnut St,CINCINNATI,OH,45202-3956,U,Y,Y,Existing or more than 2 years old,NORTH BEND,HAMILTON,OH,45052-0001,OH-08,2,212111,Unanswered,Unknown/NotStated,,22366,,,,,,Corporation,53803,"U.S. Bank, National Association",CINCINNATI,OH,Unanswered,Unanswered,,22683.47,09/29/2021
7454387707,05/01/2020,0549,PPP,"AMY'S SHOES EAST, LLC",28699 CHAGRIN BLVD,WOODMERE,OH,44122,05/21/2021,Paid in Full,24,100,22365,22365,0,,53803,"U.S. Bank, National Association",425 Walnut St,CINCINNATI,OH,45202-3956,U,N,N,Existing or more than 2 years old,WOODMERE,CUYAHOGA,OH,44122-0001,OH-11,5,,White,Not Hispanic or Latino,,22365,,,,,,Limited  Liability Company(LLC),53803,"U.S. Bank, National Association",CINCINNATI,OH,Female Owned,Non-Veteran,,22579.95,04/19/2021
8548307210,04/28/2020,0593,PPP,FIVE STONES COMMUNITY CHURCH,1130 E. MAIN ST,ASHLAND,OH,44805-2832,03/16/2021,Paid in Full,24,100,8946,22365,0,,104341,Everence FCU,"2160 Lincoln Hwy East, Ste 20",LANCASTER,PA,17602-1669,R,N,N,Existing or more than 2 years old,ASHLAND,ASHLAND,OH,44805-2832,OH-04,5,813110,Unanswered,Unknown/NotStated,,22365,,,,,,Non-Profit Organization,104341,Everence FCU,LANCASTER,PA,Unanswered,Unanswered,Y,22534.6,02/03/2021
9050338103,07/27/2020,0549,PPP,THE SHEPHERD'S HAND INC,1950 TUSCARAWAS ST E,CANTON,OH,44707-2953,07/17/2021,Paid in Full,60,100,22365,22365,0,,433860,Quontic Bank,"3105 Broadway, 2nd Fl",Astoria,NY,11106,U,Y,Y,Unanswered,CANTON,STARK,OH,44707-2953,OH-13,6,532281,Black or African American,Not Hispanic or Latino,,22365,,,,,,Corporation,529029,Intuit Financing Inc.,Mountainview,CA,Male Owned,Unanswered,,22565.98,06/22/2021
8948627004,04/09/2020,0593,PPP,SERVICE MEDICAL OXYGEN,410 W HIGH ST,MOUNT VERNON,OH,43050-2325,03/16/2021,Paid in Full,24,100,22363.75,22363.75,0,,57912,The Park National Bank,50 N Third St,NEWARK,OH,43055-5523,R,Y,N,Existing or more than 2 years old,MOUNT VERNON,KNOX,OH,43050-2325,OH-12,3,453998,Unanswered,Unknown/NotStated,,22363.75,,,,,,Partnership,57912,The Park National Bank,NEWARK,OH,Male Owned,Non-Veteran,,22504.75,02/16/2021
5740308801,04/18/2021,0593,PPS,KATRINA MINCY,9501 COLRAINE Ave,Cincinnati,OH,45251,09/28/2021,Paid in Full,60,100,22363,22363,0,,199896,"Grow America Fund, Incorporated",633 3rd Ave Suite 19J,NEW YORK,NY,10017,U,N,Y,Existing or more than 2 years old,Cincinnati,HAMILTON,OH,45251,OH-01,1,722513,Unanswered,Unknown/NotStated,1,22361,,,,,,Sole Proprietorship,199896,"Grow America Fund, Incorporated",NEW YORK,NY,Unanswered,Unanswered,,22424.5,07/27/2021
9381418500,03/12/2021,0549,PPP,NAMI OF LORAIN COUNTY,6125 S Broadway Ste E,Lorain,OH,44053-3884,10/06/2021,Paid in Full,60,100,22362.5,22362.5,0,,78723,Northwest Bank,Liberty & Second St,WARREN,PA,16365,U,N,N,Existing or more than 2 years old,Lorain,LORAIN,OH,44053-3884,OH-05,4,621420,White,Not Hispanic or Latino,,22362.5,,,,,,501(c)3 � Non Profit,78723,Northwest Bank,WARREN,PA,Male Owned,Non-Veteran,,22466.65,09/02/2021
